"","date","close_prev"
"582",2013-08-23,14.48
"583",2013-08-26,14.97
"584",2013-08-27,15.15
"585",2013-08-28,15.39
"586",2013-08-29,15.78
"587",2013-08-30,16.34
"588",2013-09-02,16.1
"589",2013-09-03,16.42
"590",2013-09-04,16.26
"591",2013-09-05,16.09
"592",2013-09-06,16.25
"593",2013-09-09,16.16
"594",2013-09-10,16.11
"595",2013-09-11,16.28
"596",2013-09-12,16.35
"597",2013-09-13,16.9
"598",2013-09-16,16.63
"599",2013-09-17,16.33
"600",2013-09-18,16.35
"601",2013-09-23,16.65
"602",2013-09-24,16.79
"603",2013-09-25,16.96
"604",2013-09-26,16.71
"605",2013-09-27,16.47
"606",2013-09-30,16.67
"607",2013-10-08,16.7
"608",2013-10-09,16.7
"609",2013-10-10,16.53
"610",2013-10-11,16.4
"611",2013-10-14,16.33
"612",2013-10-15,16.33
"613",2013-10-16,15.68
"614",2013-10-17,15.33
"615",2013-10-18,15.59
"616",2013-10-21,15.57
"617",2013-10-22,15.79
"618",2013-10-23,15.53
"619",2013-10-24,15.03
"620",2013-10-25,14.92
"621",2013-10-28,14.74
"622",2013-10-29,14.87
"623",2013-10-30,14.3
"624",2013-10-31,14.8
"625",2013-11-01,14.6
"626",2013-11-04,14.9
"627",2013-11-05,14.81
"628",2013-11-06,14.76
"629",2013-11-07,14.62
"630",2013-11-08,14.44
"631",2013-11-11,14.73
"632",2013-11-12,14.67
"633",2013-11-13,15
"634",2013-11-14,14.8
"635",2013-11-15,14.91
"636",2013-11-18,14.98
"637",2013-11-19,15.09
"638",2013-11-20,15.01
"639",2013-11-21,14.95
"640",2013-11-22,14.82
"641",2013-11-25,14.6
"642",2013-11-26,14.5
"643",2013-11-27,14.78
"644",2013-11-28,14.81
"645",2013-11-29,15.04
"646",2013-12-02,14.97
"647",2013-12-03,14.37
"648",2013-12-04,14.56
"649",2013-12-05,14.9
"650",2013-12-06,14.78
"651",2013-12-09,14.59
"652",2013-12-10,14.7
"653",2013-12-11,15.57
"654",2013-12-12,15.35
"655",2013-12-13,15.27
"656",2013-12-16,15.36
"657",2013-12-17,15.65
"658",2013-12-18,15.3
"659",2013-12-19,15.31
"660",2013-12-20,14.99
"661",2013-12-23,14.69
"662",2013-12-24,14.55
"663",2013-12-25,14.54
"664",2013-12-26,14.6
"665",2013-12-27,14.6
"666",2013-12-30,14.62
"667",2013-12-31,14.72
"668",2014-01-02,14.73
"669",2014-01-03,14.74
"670",2014-01-06,15.18
"671",2014-01-07,14.97
"672",2014-01-08,15.45
"673",2014-01-09,15.7
"674",2014-01-10,15.46
"675",2014-01-13,14.91
"676",2014-01-14,14.8
"677",2014-01-15,15.07
"678",2014-01-16,14.83
"679",2014-01-17,14.99
"680",2014-01-20,14.69
"681",2014-01-21,14.5
"682",2014-01-22,14.52
"683",2014-01-23,14.74
"684",2014-01-24,14.86
"685",2014-01-27,15.15
"686",2014-01-28,14.98
"687",2014-01-29,14.7
"688",2014-01-30,14.56
"689",2014-02-07,14.58
"690",2014-02-10,14.69
"691",2014-02-11,15.02
"692",2014-02-12,14.95
"693",2014-02-13,15.33
"694",2014-02-14,15.12
"695",2014-02-17,15.54
"696",2014-02-18,15.55
"697",2014-02-19,15.62
"698",2014-02-20,15.41
"699",2014-02-21,15.23
"700",2014-02-24,15.26
"701",2014-02-25,15.12
"702",2014-02-26,15.35
"703",2014-02-27,15.05
"704",2014-02-28,14.94
"705",2014-03-03,14.98
"706",2014-03-04,15.68
"707",2014-03-05,16.2
"708",2014-03-06,16.29
"709",2014-03-07,16.32
"710",2014-03-10,15.93
"711",2014-03-11,16.03
"712",2014-03-12,16.11
"713",2014-03-13,17.25
"714",2014-03-14,17.25
"715",2014-03-17,17.06
"716",2014-03-18,17.97
"717",2014-03-19,17.8
"718",2014-03-20,18.41
"719",2014-03-21,18.51
"720",2014-03-24,18.48
"721",2014-03-25,18.58
"722",2014-03-26,18.1
"723",2014-03-27,18.08
"724",2014-03-28,18.24
"725",2014-03-31,18.38
"726",2014-04-01,17.92
"727",2014-04-02,17.83
"728",2014-04-03,16.99
"729",2014-04-04,17.29
"730",2014-04-08,17.33
"731",2014-04-09,17.31
"732",2014-04-10,17.99
"733",2014-04-11,18.1
"734",2014-04-14,18.36
"735",2014-04-15,18.78
"736",2014-04-16,19.68
"737",2014-04-17,19.75
"738",2014-04-18,19.25
"739",2014-04-21,19.05
"740",2014-04-22,18.94
"741",2014-04-23,18.78
"742",2014-04-24,18.82
"743",2014-04-25,18.3
"744",2014-04-28,18.42
"745",2014-04-29,17.7
"746",2014-04-30,17.8
"747",2014-05-05,18.08
"748",2014-05-06,18.11
"749",2014-05-07,18.3
"750",2014-05-08,18.07
"751",2014-05-09,16.75
"752",2014-05-12,16.18
"753",2014-05-13,16.28
"754",2014-05-14,16.65
"755",2014-05-15,16.29
"756",2014-05-16,15.85
"757",2014-05-19,15.88
"758",2014-05-20,15.97
"759",2014-05-21,16.14
"760",2014-05-22,16.38
"761",2014-05-23,16.49
"762",2014-05-26,16.6
"763",2014-05-27,16.83
"764",2014-05-28,16.59
"765",2014-05-29,16.8
"766",2014-05-30,16.8
"767",2014-06-03,16.71
"768",2014-06-04,16.94
"769",2014-06-05,16.66
"770",2014-06-06,16.78
