date,open,high,low,close,close_prev,change_pct,volume,amount
2019/11/7,3984.5529,4005.3829,3975.5475,3991.8749,3984.8816,0.1755,87254898,1.18E+11
2019/11/8,4017.6742,4022.0362,3971.5726,3973.0107,3991.8749,-0.4726,97106948,1.39E+11
2019/11/11,3948.6186,3948.6186,3897.5504,3902.9783,3973.0107,-1.7627,94155621,1.30E+11
2019/11/12,3905.9584,3914.8821,3877.7397,3903.6888,3902.9783,0.0182,76543069,1.09E+11
2019/11/13,3905.2831,3908.4196,3882.4314,3899.9815,3903.6888,-0.095,76749078,1.12E+11
2019/11/14,3905.9284,3916.9459,3895.1415,3905.857,3899.9815,0.1507,87008446,1.20E+11
2019/11/15,3908.4891,3915.1049,3877.0892,3877.0892,3905.857,-0.7365,83730917,1.15E+11
2019/11/18,3874.4405,3913.1029,3868.3166,3907.9291,3877.0892,0.7954,76645993,1.07E+11
2019/11/19,3904.0996,3947.0392,3902.3776,3947.0392,3907.9291,1.0008,82161025,1.23E+11
2019/11/20,3940.1344,3943.2273,3901.9865,3907.8641,3947.0392,-0.9925,76815333,1.18E+11
2019/11/21,3894.539,3901.8262,3875.9682,3889.598,3907.8641,-0.4674,69130538,1.04E+11
2019/11/22,3894.1742,3918.8385,3833.5033,3849.9948,3889.598,-1.0182,91042639,1.47E+11
2019/11/25,3850.966,3878.2507,3839.4201,3878.2061,3849.9948,0.7328,106066289,1.41E+11
2019/11/26,3893.4349,3899.1097,3869.5948,3891.6533,3878.2061,0.3467,111513537,1.40E+11
2019/11/27,3883.429,3889.9783,3862.7011,3875.6186,3891.6533,-0.412,76437305,1.07E+11
2019/11/28,3877.9012,3887.6903,3852.0105,3862.3029,3875.6186,-0.3436,65230119,87081788912
2019/11/29,3857.1883,3861.6584,3804.8291,3828.6706,3862.3029,-0.8708,74144331,1.16E+11
2019/12/2,3835.5128,3854.7509,3829.3126,3836.0589,3828.6706,0.193,77412173,1.10E+11
2019/12/3,3829.212,3851.1205,3811.6281,3851.0873,3836.0589,0.3918,73611240,1.09E+11
2019/12/4,3841.6627,3852.9922,3831.0747,3849.819,3851.0873,-0.0329,79683385,1.10E+11
2019/12/5,3863.6086,3883.4031,3859.8223,3879.3638,3849.819,0.7674,89051193,1.29E+11
2019/12/6,3885.0582,3902.3853,3878.7002,3902.3853,3879.3638,0.5934,78648887,1.16E+11
2019/12/9,3909.5297,3911.9682,3885.2507,3895.4468,3902.3853,-0.1778,95353806,1.31E+11
2019/12/10,3886.444,3900.959,3882.0877,3900.3843,3895.4468,0.1268,86262928,1.21E+11
2019/12/11,3907.1592,3909.3854,3890.341,3902.7492,3900.3843,0.0606,99765480,1.28E+11
2019/12/12,3908.4537,3908.4537,3886.1188,3891.0242,3902.7492,-0.3004,84708330,1.18E+11
2019/12/13,3928.0044,3969.4568,3925.2757,3968.2211,3891.0242,1.984,148571349,2.01E+11
2019/12/16,3970.7092,3987.5866,3953.5126,3987.5464,3968.2211,0.487,148486670,2.02E+11
2019/12/17,3987.7426,4067.1355,3984.5193,4041.7996,3987.5464,1.3606,201162937,2.52E+11
2019/12/18,4039.724,4057.64,4025.3433,4032.7826,4041.7996,-0.2231,151351764,1.98E+11
2019/12/19,4034.6159,4038.5435,4014.8951,4027.1495,4032.7826,-0.1397,117900558,1.53E+11
2019/12/20,4032.1519,4046.7261,4014.9296,4017.2527,4027.1495,-0.2458,121267662,1.58E+11
2019/12/23,4014.6929,4032.1721,3964.3798,3967.0962,4017.2527,-1.2485,122816246,1.62E+11
2019/12/24,3971.56,3994.5092,3963.6653,3992.9581,3967.0962,0.6519,95989045,1.22E+11
2019/12/25,3988.6574,4000.5556,3976.3559,3990.8671,3992.9581,-0.0524,94938890,1.32E+11
2019/12/26,3993.6686,4025.9879,3993.5413,4025.9879,3990.8671,0.88,108860640,1.41E+11
2019/12/27,4029.2454,4066.7964,4019.7223,4022.0278,4025.9879,-0.0984,150926411,1.95E+11
